No,ToDo,機能,成果物,進捗,見積工数(人日),実績工数(人日),詳細
1,要件ヒアリング・現状調査,要件定義,要件定義書（ヒアリング議事録・現状分析）,100%,2.0,2.0,ステークホルダーへのヒアリング・現行業務フロー調査・課題整理
2,要件定義書作成,要件定義,requirements.md（要件定義書）,100%,3.0,3.0,機能要件・非機能要件・受け入れ基準の文書化（備品管理・貸出・返却・通知・検索・ユーザー管理）
3,要件定義レビュー・承認,要件定義,レビュー議事録・承認記録,100%,1.0,1.0,ステークホルダーとのレビュー・修正・最終承認
4,システム構成・アーキテクチャ設計,基本設計,設計書（アーキテクチャ図・技術選定）,100%,2.0,2.0,Rails7モノリス・Layered Architecture（Controller/Service/Model）・技術スタック選定（Devise/Pundit/Sidekiq等）
5,データベース設計,基本設計,設計書（ER図・テーブル定義書）,100%,2.0,2.0,ER図・テーブル定義・インデックス設計・UUID主キー・論理削除設計
6,画面設計（画面一覧・画面遷移図）,基本設計,設計書（画面一覧・遷移図）,100%,2.0,2.0,全画面一覧・ロール別画面遷移図・ワイヤーフレーム
7,APIルーティング・コントローラー設計,基本設計,設計書（ルーティング定義・コントローラー責務）,100%,1.0,1.0,RESTfulルーティング設計・Namespace（Admin）・コントローラー責務定義
8,クラス・サービス層詳細設計,詳細設計,設計書（クラス図・サービス仕様）,100%,2.0,2.0,Service層（Equipment/Loan/Return/Inventory/Search/User/Notification）・Policy層・Mailer・Jobのクラス設計
9,主要フローシーケンス図作成,詳細設計,設計書（シーケンス図）,100%,1.5,1.5,貸出申請・承認・返却・延滞チェック・在庫不足通知の処理シーケンス
10,セキュリティ設計,詳細設計,設計書（セキュリティ方針）,100%,1.0,1.0,認証（Devise）・認可（Pundit）設計・SQLインジェクション・XSS・CSRF対策方針
11,開発環境構築,環境構築,Docker設定・開発環境,100%,1.0,1.0,Docker/Docker Compose設定。Ruby/Rails/PostgreSQL/Redis環境のコンテナ構築
12,ステージング環境構築,環境構築,ステージング環境,0%,1.5,,ステージングサーバー設定・DB・Redis・Sidekiq構成・環境変数設定
13,本番環境構築,環境構築,本番環境,0%,2.0,,本番サーバー・DB・Redis・Sidekiq・SMTPサーバー設定・SSL証明書設定
14,CI/CD設定,環境構築,CI/CDパイプライン,0%,2.0,,GitHub Actions等でRSpecテスト自動実行・Linter・本番/ステージングへの自動デプロイ設定
15,Railsプロジェクトの初期構成とGem設定,プロジェクト基盤,Gemfile・アプリ基本設定,100%,1.0,1.0,Devise・Pundit・Sidekiq・Whenever・Tailwind CSS・discardなどのGem追加。Hotwire（Turbo/Stimulus）有効化。RSpec・FactoryBot・Capybara設定
16,データベース接続とPostgreSQL設定,プロジェクト基盤,database.yml・DB環境,100%,0.5,0.5,PostgreSQL接続設定。UUID主キーをデフォルトとして設定。開発・テスト環境のDB作成
17,Deviseによる認証機能のセットアップ,ユーザー認証,Userモデル・ログイン画面,100%,1.5,1.5,ログイン・ログアウト画面。管理者/一般ユーザーのrole属性追加。未認証ユーザーをログイン画面へリダイレクト
18,パスワード変更機能の実装,ユーザー認証,パスワード変更画面,100%,1.0,1.0,現在のパスワード確認後に新しいパスワードを設定。最低8文字のバリデーション
19,カテゴリモデルの作成,データモデル,Categoryモデル・マイグレーション,100%,0.5,0.5,カテゴリ名を必須かつユニークとするバリデーション
20,備品モデルの作成,データモデル,Equipmentモデル・マイグレーション,100%,1.0,1.0,enum（available/in_use/repair/disposed）・論理削除（deleted_at）・インデックス設定
21,貸出モデルの作成,データモデル,Loanモデル・マイグレーション,100%,1.0,1.0,enum（pending_approval/active/returned/overdue）・外部キー・インデックス設定
22,備品の登録・編集・削除ロジックの実装,備品管理,EquipmentService,100%,2.0,2.0,管理番号重複チェック・論理削除・貸出中ブロック・更新日時自動記録
23,備品管理画面の実装,備品管理,備品一覧・詳細・登録・編集画面,100%,2.0,2.0,Turbo Streamsエラー表示・削除確認ダイアログ
24,備品操作の認可ポリシー実装,備品管理,EquipmentPolicy,100%,1.0,1.0,登録・編集・削除を管理者のみに制限。権限不足エラー表示
25,貸出申請ロジックの実装,貸出管理,LoanService,100%,2.5,2.5,排他ロックによる在庫確認・承認フロー（承認待ち→貸出中）・返却予定日バリデーション
26,貸出申請・一覧画面の実装,貸出管理,貸出申請・一覧画面,100%,2.0,2.0,申請フォーム・管理者向け全貸出一覧・一般ユーザー向け自分の貸出一覧・承認UI
27,貸出操作の認可ポリシー実装,貸出管理,LoanPolicy,100%,1.0,1.0,申請は認証済み全ユーザー。承認・他ユーザーレコード操作は管理者のみ
28,返却処理ロジックの実装,返却管理,ReturnService,100%,1.5,1.5,トランザクション内でステータス更新・実返却日記録・貸出可能数+1
29,返却操作UIの実装,返却管理,返却ボタン・フロー,100%,1.0,1.0,貸出一覧から返却手続きを実行。完了後フラッシュ表示・リダイレクト
30,備品ステータス変更ロジックの実装,在庫・状態管理,InventoryService,100%,1.5,1.5,修理中・廃棄への遷移時に貸出対象から除外。申請フォームで選択不可表示
31,管理者ダッシュボードの実装,在庫・状態管理,ダッシュボード画面,100%,2.0,2.0,カテゴリ別の在庫数・貸出中数・利用可能数サマリー。延滞一覧（延滞日数・ユーザー情報）
32,備品一覧の検索・フィルタ・ソート機能の実装,検索・一覧,SearchService・備品一覧画面,100%,2.0,2.0,カテゴリ・ステータス・キーワード絞り込み。名称・カテゴリ・登録日・在庫数ソート。1ページ20件
33,備品一覧表示カラムの実装,検索・一覧,備品一覧画面（強化版）,100%,1.5,1.5,一般ユーザー向け借用中ハイライト。管理者向け貸出者名・貸出中数表示
34,貸出履歴一覧画面の実装,検索・一覧,貸出履歴一覧画面,100%,1.5,1.5,ユーザー・備品・期間フィルタ。各行にユーザー名・備品名・管理番号・貸出日・返却日・ステータス表示
35,ユーザー管理サービスと管理画面の実装,ユーザー管理,UserService・ユーザー管理画面,100%,2.0,2.0,管理者向けユーザー一覧・作成・編集。氏名・メール・ロール設定。UserPolicy
36,マイページの実装,ユーザー管理,マイページ画面,100%,1.5,1.5,自分の現在貸出中備品一覧と過去履歴表示
37,貸出確認メール通知の実装,通知,LoanMailer・NotificationService,100%,1.5,1.5,貸出申請完了時に非同期で確認メール送信。例外処理でメイン処理を中断しない設計
38,在庫不足アラート通知の実装,通知,在庫不足アラートメール,100%,1.0,1.0,貸出可能数が閾値以下になった際に管理者へアラートメールを非同期送信
39,延滞チェックジョブの実装,延滞管理,OverdueCheckJob,100%,1.5,1.5,返却予定日超過レコードを一括で延滞ステータスへ更新。管理者アラートメール送信。冪等性確保
40,延滞チェックスケジューリング設定,延滞管理,config/schedule.rb,100%,0.5,0.5,Wheneverを使用して毎日00:30に延滞チェックジョブを自動実行
41,貸出・返却フロー統合テスト,テスト,spec/services/,100%,2.0,2.0,在庫あり・在庫なし・同時申請競合・通常返却・延滞後返却シナリオを網羅
42,備品管理・検索機能統合テスト,テスト,spec/services/ spec/requests/,100%,2.0,2.0,フィルタ・ソート・ページネーション動作。ダッシュボードサマリー精度テスト
43,認証・認可E2Eテスト,テスト,spec/system/,100%,2.0,2.0,管理者ユーザー登録→貸出フロー。未認証リダイレクト。権限制限の全シナリオ
44,パフォーマンステストの実施,テスト,ベンチマークスクリプト,0%,2.0,,備品一覧500件表示レスポンスタイム・延滞チェック1000件処理・同時10ユーザー競合テスト
45,カテゴリ管理画面の実装,カテゴリ管理,カテゴリ一覧・登録・編集・削除画面,0%,2.0,,管理者のみアクセス可。カテゴリCRUD。備品との紐付け確認（使用中カテゴリの削除ブロック）
46,備品詳細ページの実装,備品管理,備品詳細画面,0%,1.5,,備品の全情報表示。貸出履歴一覧。現在の貸出状況（貸出者・返却予定日）表示
47,返却リマインダーメール通知の実装,通知,ReminderMailer・リマインダージョブ,0%,2.0,,返却予定日X日前（例：3日前）にユーザーへ自動リマインダーメールを送信するジョブ実装
48,リマインダーバッチスケジューリング設定,通知,config/schedule.rb（更新）,0%,0.5,,Wheneverにリマインダーバッチの毎日実行スケジュールを追加
49,備品データCSVエクスポート,データ出力,CSVエクスポート機能,0%,1.5,,備品一覧をCSVダウンロード。検索・フィルタ条件を反映したエクスポートに対応
50,貸出履歴CSVエクスポート,データ出力,CSVエクスポート機能,0%,1.0,,貸出履歴をCSVダウンロード。期間・ユーザー・備品フィルタ対応
51,監査ログ・操作履歴の実装,セキュリティ,AuditLogモデル・操作履歴画面,0%,3.0,,備品登録・編集・削除・貸出承認・ユーザー変更等の操作を操作者・日時・変更内容とともに記録・閲覧
52,貸出レポート出力（PDF/CSV）,レポート,月次レポート画面・ファイル出力,0%,3.0,,期間別貸出集計・カテゴリ別稼働率・延滞率など管理者向け帳票をPDF/CSVで出力
53,備品の一括操作機能の実装,備品管理,一括操作UI,0%,2.0,,チェックボックスで複数備品を選択し一括ステータス変更・一括論理削除。Turbo Framesで非同期更新
54,備品画像アップロードの実装,備品管理,Active Storage統合・画像表示,0%,2.0,,Active StorageでS3/ローカルに画像保存。備品一覧・詳細ページにサムネイル表示
55,デプロイ手順書作成,リリース・デプロイ,デプロイ手順書・ロールバック手順,0%,1.0,,本番リリース手順・マイグレーション実行順・ロールバック手順の文書化
56,本番リリース・動作確認,リリース・デプロイ,リリース報告書,0%,1.5,,本番環境へのデプロイ・全機能の動作確認・パフォーマンス確認・リリースノート作成
57,ユーザー受け入れテスト（UAT）,リリース・デプロイ,UAT結果報告書,0%,2.0,,実際のユーザーによる受け入れテスト実施・フィードバック収集・最終修正対応
58,監視設定・ログ管理,運用・保守,監視設定・ダッシュボード,0%,1.5,,アプリケーションログ・エラー監視（Sentry等）・パフォーマンス監視・Sidekiqキュー監視設定
59,障害対応手順書作成,運用・保守,障害対応手順書,0%,1.0,,想定障害パターン・対応手順・エスカレーションフロー・連絡先リストの文書化
60,操作マニュアル・ドキュメント整備,運用・保守,操作マニュアル,0%,2.0,,管理者向け・一般ユーザー向け操作マニュアル作成。FAQ・トラブルシューティングガイド
